strain	gisaid_epi_isl	genbank_accession	date	region	iso	country	division	location	region_exposure	country_exposure	division_exposure	length	host	originating_lab	submitting_lab	authors	url	update
Australia/QLD03/2020	EPI_ISL_410717	?	2020-02-05	Oceania	AUS	Australia	Queensland	Gold Coast	Oceania	Australia	Queensland	29865	Human	Pathology Queensland	Public Health Virology Laboratory	Huang et al	https://www.gisaid.org	?
Australia/QLD04/2020	EPI_ISL_410718	?	2020-02-05	Oceania	AUS	Australia	Queensland	Gold Coast	Oceania	Australia	Queensland	29865	Human	Pathology Queensland	Public Health Virology Laboratory	Huang et al	https://www.gisaid.org	?
Australia/QLDID922/2020	EPI_ISL_418799	?	2020-02-28	Oceania	AUS	Australia	Queensland	Brisbane	Oceania	Australia	Queensland	29831	Human	Mater Pathology	Public Health Virology Laboratory	Huang et al	https://www.gisaid.org	?
Australia/VIC07/2020	EPI_ISL_416415	?	2020-02-08	Oceania	AUS	Australia	Victoria	Melbourne	Oceania	Australia	Victoria	29865	Human	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly et al	https://www.gisaid.org	?
Australia/VIC14/2020	EPI_ISL_419734	?	2020-02-02	Oceania	AUS	Australia	Victoria	?	Oceania	Australia	Victoria	29865	Human	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly et al	https://www.gisaid.org	?
Belgium/ULG-10061/2020	EPI_ISL_424662	?	2020-04-05	Western Europe	BEL	Belgium	Liege	?	Europe	Belgium	LiÃÂ¨ge	29903	Human	Department of Clinical Microbiology	GIGA Medical Genomics	Durkin et al	https://www.gisaid.org	?
Canada/BC_41851/2020	EPI_ISL_415584	?	2020-03-02	North America	CAN	Canada	British Columbia	?	North America	Canada	British Columbia	29903	Human	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al	https://www.gisaid.org	?
Canada/BC_6502001/2020	EPI_ISL_418840	?	2020-03-12	North America	CAN	Canada	British Columbia	?	North America	Canada	British Columbia	29903	Human	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al	https://www.gisaid.org	?
Canada/BC_83109/2020	EPI_ISL_415588	?	2020-03-05	North America	CAN	Canada	British Columbia	?	North America	Canada	British Columbia	29903	Human	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al	https://www.gisaid.org	?
Canada/BC_8718874/2020	EPI_ISL_418852	?	2020-03-07	North America	CAN	Canada	British Columbia	?	North America	Canada	British Columbia	29903	Human	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al	https://www.gisaid.org	?
Canada/BC_8896915/2020	EPI_ISL_418854	?	2020-03-11	North America	CAN	Canada	British Columbia	?	North America	Canada	British Columbia	29903	Human	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al	https://www.gisaid.org	?
Canada/BC_8897642/2020	EPI_ISL_418855	?	2020-03-11	North America	CAN	Canada	British Columbia	?	North America	Canada	British Columbia	29903	Human	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al	https://www.gisaid.org	?
Canada/ON_PHL0178/2020	EPI_ISL_418342	?	2020-03-11	North America	CAN	Canada	Ontario	?	North America	Canada	Ontario	29882	Human	Public Health Ontario Laboratories	Public Health Ontario Laboratories	Eshaghi et al	https://www.gisaid.org	?
Canada/ON_PHL3877/2020	EPI_ISL_418339	?	2020-03-09	North America	CAN	Canada	Ontario	?	North America	Canada	Ontario	29882	Human	Public Health Ontario Laboratories	Public Health Ontario Laboratories	Eshaghi et al	https://www.gisaid.org	?
Canada/ON_PHL4181/2020	EPI_ISL_418327	?	2020-01-25	North America	CAN	Canada	Ontario	?	North America	Canada	Ontario	29882	Human	Public Health Ontario Laboratories	Public Health Ontario Laboratories	Eshaghi et al	https://www.gisaid.org	?
Canada/ON_PHL4464/2020	EPI_ISL_418335	?	2020-03-14	North America	CAN	Canada	Ontario	?	North America	Canada	Ontario	29882	Human	Public Health Ontario Laboratories	Public Health Ontario Laboratories	Eshaghi et al	https://www.gisaid.org	?
China/WF0001/2020	EPI_ISL_413691	?	2020-01-XX	Eastern Asia	CHN	China	Shandong	?	Asia	China	Shandong	29856	Human	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Nie et al	https://www.gisaid.org	?
China/WF0003/2020	EPI_ISL_413693	?	2020-01-XX	Eastern Asia	CHN	China	Shandong	?	Asia	China	Shandong	29850	Human	Weifang Center for Disease Control and Prevention	Weifang Center for Disease Control and Prevention & BGI-Shenzhen	Nie et al	https://www.gisaid.org	?
Chongqing/ZX01/2020	EPI_ISL_408479	?	2020-01-23	Eastern Asia	CHN	China	Chongqing	Zhongxian	Asia	China	Chongqing	29891	Human	Zhongxian Center for Disease Control and Prevention	Chongqing Municipal Center for Disease Control and Prevention	Sheng et al	https://www.gisaid.org	?
England/20129089504/2020	EPI_ISL_424078	?	2020-03-11	Northern Europe	GBR	United Kingdom	England	?	Europe	United Kingdom	England	29903	Human	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Galiano et al	https://www.gisaid.org	?
England/20139021604/2020	EPI_ISL_421882	?	2020-03-27	Northern Europe	GBR	United Kingdom	England	?	Europe	United Kingdom	England	29907	Human	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Galiano et al	https://www.gisaid.org	?
England/20140071704/2020	EPI_ISL_423415	?	2020-03-29	Northern Europe	GBR	United Kingdom	England	?	Europe	United Kingdom	England	29903	Human	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Galiano et al	https://www.gisaid.org	?
England/CAMB-7381F/2020	EPI_ISL_425244	?	2020-04-01	Northern Europe	GBR	United Kingdom	England	?	Europe	United Kingdom	England	29903	Human	Department of Pathology, University of Cambridge	COVID-19 Genomics UK (COG-UK) Consortium	Meredith et al	https://www.gisaid.org	?
Foshan/20SF210/2020	EPI_ISL_406535	?	2020-01-22	Eastern Asia	CHN	China	Guangdong	Foshan	Asia	China	Guangdong	29839	Human	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Kang et al	https://www.gisaid.org	?
Foshan/20SF211/2020	EPI_ISL_406536	?	2020-01-22	Eastern Asia	CHN	China	Guangdong	Foshan	Asia	China	Guangdong	29803	Human	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Kang et al	https://www.gisaid.org	?
